====================     2021-02-26    ====================8ff694f  Update android binder + ashmem + lowmemorykiller  [kimocoder]
73d2bed  Merge changes  [kimocoder]
ac7b040  net: Add __icmp_send helper.  [Nazarov Sergey]
d978450  net: nfc: Fix NULL dereference on nfc_llcp_build_tlv fails  [YueHaibing]
800d0c1  team: Free BPF filter when unregistering netdev  [Ido Schimmel]
3455158  sky2: Disable MSI on Dell Inspiron 1545 and Gateway P-79  [Kai-Heng Feng]
856abcf  net-sysfs: Fix mem leak in netdev_register_kobject  [YueHaibing]
8679d3a  USB: serial: cp210x: add ID for Ingenico 3070  [Ivan Mironov]
4185ecc  mm: enforce min addr even if capable() in expand_downwards()  [Jann Horn]
20f9c59  mmc: spi: Fix card detection during probe  [Jonathan Neuschäfer]
dfe1e0f  KVM: nSVM: clear events pending from svm_complete_interrupts() when exiting to L1  [Vitaly Kuznetsov]
f1c0e12  cfg80211: extend range deviation for DMG  [Chaitanya Tata]
5513aac  mac80211: don't initiate TDLS connection if station is not associated to AP  [Balaji Pothunoori]
ceb2131  ibmveth: Do not process frames after calling napi_reschedule  [Thomas Falcon]
1a435d3b  net: altera_tse: fix connect_local_phy error path  [Atsushi Nemoto]
3b9477b  scsi: csiostor: fix NULL pointer dereference in csio_vport_set_state()  [Varun Prakash]
98fcc6e  serial: fsl_lpuart: fix maximum acceptable baud rate with over-sampling  [Tomonori Sakita]
1ff0877  mac80211: fix miscounting of ttl-dropped frames  [Bob Copeland]
aed1320  ASoC: imx-audmux: change snprintf to scnprintf for possible overflow  [Silvio Cesare]
44a2e18  usb: gadget: Potential NULL dereference on allocation error  [Dan Carpenter]
4a24e2f  usb: dwc3: gadget: Fix the uninitialized link_state when udc starts  [Zeng Tao]
181d6d8  ALSA: compress: prevent potential divide by zero bugs  [Dan Carpenter]
7c1e42b  ASoC: Intel: Haswell/Broadwell: fix setting for .dynamic field  [Rander Wang]
3a7ef76  drm/msm: Unblock writer if reader closes file  [Kristian H. Kristensen]
107578e  scsi: libsas: Fix rphy phy_identifier for PHYs with end devices attached  [John Garry]
3587457  libceph: handle an empty authorize reply  [Ilya Dryomov]
19f5235  netlink: Trim skb to alloc size to avoid MSG_TRUNC  [Arad, Ronen]
a4a6b21  sit: check if IPv6 enabled before calling ip6_err_gen_icmpv6_unreach()  [Hangbin Liu]
348e994  team: avoid complex list operations in team_nl_cmd_options_set()  [Cong Wang]
8f6989a  net/packet: fix 4gb buffer limit due to overflow check  [Kal Conley]
5be68b1  batman-adv: fix uninit-value in batadv_interface_tx()  [Eric Dumazet]
0483d63  KEYS: always initialize keyring_index_key::desc_len  [Eric Biggers]
b59735ee  KEYS: user: Align the payload buffer  [Eric Biggers]
cf4652a  isdn: avm: Fix string plus integer warning from Clang  [Nathan Chancellor]
4513f78f4  leds: lp5523: fix a missing check of return value of lp55xx_read  [Kangjie Lu]
caf9ade  atm: he: fix sign-extension overflow on large shift  [Colin Ian King]
b7aa1807  isdn: i4l: isdn_tty: Fix some concurrency double-free bugs  [Jia-Ju Bai]
01df62c  MIPS: jazz: fix 64bit build  [Thomas Bogendoerfer]
86e7f43  scsi: isci: initialize shost fully before calling scsi_add_host()  [Logan Gunthorpe]
ff34ffa  scsi: qla4xxx: check return code of qla4xxx_copy_from_fwddb_param  [YueHaibing]
650f4f2  MIPS: ath79: Enable OF serial ports in the default config  [Alban Bedel]
4253bd9  mfd: mc13xxx: Fix a missing check of a register-read failure  [Kangjie Lu]
950cb19  mfd: wm5110: Add missing ASRC rate register  [Charles Keepax]
de13fca  mfd: ab8500-core: Return zero in get_register_interruptible()  [Dan Carpenter]
bbae3ae  mfd: db8500-prcmu: Fix some section annotations  [Nathan Chancellor]
1ffc841  mfd: twl-core: Fix section annotations on {,un}protect_pm_master  [Nathan Chancellor]
c973beb  mfd: ti_am335x_tscadc: Use PLATFORM_DEVID_AUTO while registering mfd cells  [Vignesh R]
4364a34  KEYS: allow reaching the keys quotas exactly  [Eric Biggers]
eb595be  numa: change get_mempolicy() to use nr_node_ids instead of MAX_NUMNODES  [Ralph Campbell]
abf60b9  ceph: avoid repeatedly adding inode to mdsc->snap_flush_list  [Yan, Zheng]
0b4fb26  Linux 3.18.136  [Greg Kroah-Hartman]
984e732  ax25: fix possible use-after-free  [Eric Dumazet]
a3c1b51  mISDN: fix a race in dev_expire_timer()  [Eric Dumazet]
684b251  net/x25: do not hold the cpu too long in x25_new_lci()  [Eric Dumazet]
7534c99  kvm: fix kvm_ioctl_create_device() reference counting (CVE-2019-6974)  [Jann Horn]
b78e305  hwmon: (lm80) Fix missing unlock on error in set_fan_div()  [Wei Yongjun]
6a758d4  net: ipv4: use a dedicated counter for icmp_v4 redirect packets  [Lorenzo Bianconi]
42b5eb9  net: stmmac: Fix a race in EEE enable callback  [Jose Abreu]
a42721d  vsock: cope with memory allocation failure at socket creation time  [Paolo Abeni]
4f95bc9  vxlan: test dev->flags & IFF_UP before calling netif_rx()  [Eric Dumazet]
d3fe5739  tcp: clear icsk_backoff in tcp_write_queue_purge()  [Eric Dumazet]
59c1ff6  tcp: tcp_v4_err() should be more careful  [Eric Dumazet]
01036b4  sky2: Increase D3 delay again  [Kai-Heng Feng]
3299d88  net: fix IPv6 prefix route residue  [Zhiqiang Liu]
e9caefa  Linux 3.18.135  [Greg Kroah-Hartman]
8178977  pinctrl: msm: fix gpio-hog related boot issues  [Christian Lamparter]
5216a64  usb: dwc2: Remove unnecessary kfree  [John Youn]
32d7881  kaweth: use skb_cow_head() to deal with cloned skbs  [Eric Dumazet]
cf65155  smsc95xx: Use skb_cow_head to deal with cloned skbs  [James Hughes]
621fc25  x86/a.out: Clear the dump structure initially  [Borislav Petkov]
642fa03  signal: Restore the stop PTRACE_EVENT_EXIT  [Eric W. Biederman]
eedc83a  tracing/uprobes: Fix output for multiple string arguments  [Andreas Ziegler]
87138df  alpha: Fix Eiger NR_IRQS to 128  [Meelis Roos]
c92a116  alpha: fix page fault handling for r16-r18 targets  [Sergei Trofimovich]
efd914d  Input: elantech - enable 3rd button support on Fujitsu CELSIUS H780  [Matti Kurkela]
29987ee  Input: bma150 - register input device after setting private data  [Jonathan Bakker]
5508152  ALSA: usb-audio: Fix implicit fb endpoint setup by quirk  [Manuel Reinhardt]
00777fd  perf/core: Fix impossible ring-buffer sizes warning  [Ingo Molnar]
8af5280  cifs: Limit memory used by lock request calls to a page  [Ross Lagerwall]
cfab33c  gpio: pl061: handle failed allocations  [Nicholas Mc Guire]
25e3847  ARM: dts: kirkwood: Fix polarity of GPIO fan lines  [Linus Walleij]
c74f7dc  ARM: dts: da850-evm: Correct the sound card name  [Peter Ujfalusi]
dded817  Revert "exec: load_script: don't blindly truncate shebang string"  [Linus Torvalds]
bde7f97  usb: host: ehci-msm: fix handling platform_get_irq result  [Andrzej Hajda]
23efaa9  batman-adv: Force mac header to start of data on xmit  [Sven Eckelmann]
e91907b  batman-adv: Avoid WARN on net_device without parent in netns  [Sven Eckelmann]
2721f1b  xfrm: refine validation of template and selector families  [Florian Westphal]
749124a7  libceph: avoid KEEPALIVE_PENDING races in ceph_con_keepalive()  [Ilya Dryomov]
43c5670  HID: debug: fix the ring buffer implementation  [Vladis Dronov]
ce744fd  drm/vmwgfx: Return error code from vmw_execbuf_copy_fence_user  [Thomas Hellstrom]
e95d0c1  drm/vmwgfx: Fix setting of dma masks  [Thomas Hellstrom]
5862ec8  drm/modes: Prevent division by zero htotal  [Tina Zhang]
da5f745  ARM: iop32x/n2100: fix PCI IRQ mapping  [Russell King]
17bff9a  MIPS: OCTEON: don't set octeon_dma_bar_type if PCI is disabled  [Aaro Koskinen]
d2f84e1  debugfs: fix debugfs_rename parameter checking  [Greg Kroah-Hartman]
7db33e0  misc: vexpress: Off by one in vexpress_syscfg_exec()  [Dan Carpenter]
c12da5b  signal: Better detection of synchronous signals  [Eric W. Biederman]
a57aaf6e  signal: Always notice exiting tasks  [Eric W. Biederman]
d5eacb1  mtd: rawnand: gpmi: fix MX28 bus master lockup problem  [Martin Kepplinger]
470cd6a  perf tests evsel-tp-sched: Fix bitwise operator  [Gustavo A. R. Silva]
4929214  perf/core: Don't WARN() for impossible ring-buffer sizes  [Mark Rutland]
4b921d7  perf/x86/intel/uncore: Add Node ID mask  [Kan Liang]
3b0edbd  KVM: nVMX: unconditionally cancel preemption timer in free_nested (CVE-2019-7221)  [Peter Shier]
4e44aca  KVM: x86: work around leak of uninitialized stack contents (CVE-2019-7222)  [Paolo Bonzini]
313362f  usb: gadget: udc: net2272: Fix bitwise and boolean operations  [Gustavo A. R. Silva]
0ab82da  usb: phy: am335x: fix race condition in _probe  [Bin Liu]
340ee4d  dmaengine: imx-dma: fix wrong callback invoke  [Leonid Iziumtsev]
c98042b  fuse: handle zero sized retrieve correctly  [Miklos Szeredi]
5531cf0  fuse: decrement NR_WRITEBACK_TEMP on the right page  [Miklos Szeredi]
12f67e3  fuse: call pipe_buf_release() under pipe lock  [Jann Horn]
206fd78  ALSA: compress: Fix stop handling on compressed capture streams  [Charles Keepax]
be973874  enic: fix checksum validation for IPv6  [Govindarajulu Varadarajan]
419e323  net: dsa: slave: Don't propagate flag changes on down slave interfaces  [Rundong Ge]
ece323e  net: systemport: Fix WoL with password after deep sleep  [Florian Fainelli]
e40e9c8  skge: potential memory corruption in skge_get_regs()  [Dan Carpenter]
78cecda  dccp: fool proof ccid_hc_[rt]x_parse_options()  [Eric Dumazet]
d588857  thermal: hwmon: inline helpers when CONFIG_THERMAL_HWMON is not set  [Eduardo Valentin]
c550354  exec: load_script: don't blindly truncate shebang string  [Oleg Nesterov]
07234bc  fs/epoll: drop ovflist branch prediction  [Davidlohr Bueso]
b2d8864  kernel/hung_task.c: break RCU locks based on jiffies  [Tetsuo Handa]
a159b50  block/swim3: Fix -EBUSY error when re-opening device after unmount  [Finn Thain]
4ebc984  gdrom: fix a memory leak bug  [Wenwen Wang]
7d17c30  isdn: hisax: hfc_pci: Fix a possible concurrency use-after-free bug in HFCPCI_l1hw()  [Jia-Ju Bai]
c317ead  ocfs2: don't clear bh uptodate for block read  [Junxiao Bi]
8d8bc81  scripts/decode_stacktrace: only strip base path when a prefix of the path  [Marc Zyngier]
84e9ca6  niu: fix missing checks of niu_pci_eeprom_read  [Kangjie Lu]
29f5d9b  um: Avoid marking pages with "changed protection"  [Anton Ivanov]
c5243ba  cifs: check ntwrk_buf_start for NULL before dereferencing it  [Ronnie Sahlberg]
65779a4  crypto: ux500 - Use proper enum in hash_set_dma_transfer  [Nathan Chancellor]
1b462d0  crypto: ux500 - Use proper enum in cryp_set_dma_transfer  [Nathan Chancellor]
93f0f4c  hwmon: (lm80) fix a missing check of bus read in lm80 probe  [Kangjie Lu]
7f05ed54  hwmon: (lm80) fix a missing check of the status of SMBus read  [Kangjie Lu]
e187f74  NFS: nfs_compare_mount_options always compare auth flavors.  [Chris Perl]
f2703b1  fbdev: fbcon: Fix unregister crash when more than one framebuffer  [Noralf Trønnes]
88f3bda  igb: Fix an issue that PME is not enabled during runtime suspend  [Kai-Heng Feng]
5902fd1  fbdev: fbmem: behave better with small rotated displays and many CPUs  [Peter Rosin]
9341fd3  video: clps711x-fb: release disp device node in probe()  [Alexey Khoroshilov]
e392d56  drbd: Avoid Clang warning about pointless switch statment  [Nathan Chancellor]
d7192c4  drbd: skip spurious timeout (ping-timeo) when failing promote  [Lars Ellenberg]
c2dcfe4  drbd: disconnect, if the wrong UUIDs are attached on a connected peer  [Lars Ellenberg]
a74dc8f  drbd: narrow rcu_read_lock in drbd_sync_handshake  [Roland Kammerer]
0f97714  xfrm6_tunnel: Fix spi check in __xfrm6_tunnel_alloc_spi  [YueHaibing]
2804cff  powerpc/uaccess: fix warning/error with access_ok()  [Christophe Leroy]
c901752  arm64: KVM: Skip MMIO insn after emulation  [Mark Rutland]
518ebdf  memstick: Prevent memstick host from getting runtime suspended during card detection  [Kai-Heng Feng]
e045530  ASoC: fsl: Fix SND_SOC_EUKREA_TLV320 build error on i.MX8M  [Fabio Estevam]
962886e  ARM: pxa: avoid section mismatch warning  [Arnd Bergmann]
7a885d2  udf: Fix BUG on corrupted inode  [Jan Kara]
7dafeac  cpuidle: big.LITTLE: fix refcount leak  [Yangtao Li]
981bd8e  clk: imx6sl: ensure MMDC CH0 handshake is bypassed  [Anson Huang]
ff5999f  sata_rcar: fix deferred probing  [Sergei Shtylyov]
97b5d01  mips: bpf: fix encoding bug for mm_srlv32_op  [Jiong Wang]
c0ee6d4  ARM: dts: Fix OMAP4430 SDP Ethernet startup  [Russell King - ARM Linux]
d7d9cbc  timekeeping: Use proper seqcount initializer  [Bart Van Assche]
de74fec  usb: hub: delay hub autosuspend if USB3 port is still link training  [Mathias Nyman]
fcc49ff  smack: fix access permissions for keyring  [Zoran Markovic]
7f672d2  media: DaVinci-VPBE: fix error handling in vpbe_initialize()  [Alexey Khoroshilov]
e0910ee7  arm64: ftrace: don't adjust the LR value  [Mark Rutland]
705812d  nfsd4: fix crash on writing v4_end_grace before nfsd startup  [J. Bruce Fields]
d1e549b  f2fs: move dir data flush to write checkpoint process  [Yunlei He]
8227b93  soc/tegra: Don't leak device tree node reference  [Yangtao Li]
b9f7ead  perf tools: Add Hygon Dhyana support  [Pu Wen]
a25d463  modpost: validate symbol names also in find_elf_symbol  [Sami Tolvanen]
ef45890  ARM: OMAP2+: hwmod: Fix some section annotations  [Nathan Chancellor]
206b829  staging: iio: ad7780: update voltage on read  [Renato Lui Geh]
8eb9154  staging:iio:ad2s90: Make probe handle spi_setup failure  [Matheus Tavares]
9c3c59f  serial: fsl_lpuart: clear parity enable bit when disable parity  [Andy Duan]
a40fa73  powerpc/pseries: add of_node_put() in dlpar_detach_node()  [Frank Rowand]
669beb3  x86/PCI: Fix Broadcom CNB20LE unintended sign extension (redux)  [Colin Ian King]
46384b0  dlm: Don't swamp the CPU with callbacks queued during recovery  [Bob Peterson]
18600d6  ARM: 8808/1: kexec:offline panic_smp_self_stop CPU  [Yufen Wang]
d346974  staging: iio: adc: ad7280a: handle error from __ad7280_read32()  [Slawomir Stepien]
19202e8  Linux 3.18.134  [Greg Kroah-Hartman]
3ad3c52  mm: migrate: don't rely on __PageMovable() of newpage after unlocking it  [David Hildenbrand]
eec982e  mm, oom: fix use-after-free in oom_kill_process  [Shakeel Butt]
d1ae778  platform/x86: asus-nb-wmi: Drop mapping of 0x33 and 0x34 scan codes  [João Paulo Rechi Vita]
47e496a  platform/x86: asus-nb-wmi: Map 0x35 to KEY_SCREENLOCK  [João Paulo Rechi Vita]
234e048  gfs2: Revert "Fix loop in gfs2_rbm_find"  [Andreas Gruenbacher]
4a5676e  fs/dcache: Fix incorrect nr_dentry_unused accounting in shrink_dcache_sb()  [Waiman Long]
b155810  CIFS: Do not count -ENODATA as failure for query directory  [Pavel Shilovsky]
23f1da9  l2tp: fix reading optional fields of L2TPv3  [Jacob Wen]
11aa646  l2tp: remove l2specific_len dependency in l2tp_core  [Lorenzo Bianconi]
2cd7847  ucc_geth: Reset BQL queue when stopping device  [Mathias Thore]
fac81a7  net/rose: fix NULL ax25_cb kernel panic  [Bernard Pidoux]
b80a9b9  netrom: switch to sock timer API  [Cong Wang]
49332d0  l2tp: copy 4 more bytes to linear part if necessary  [Jacob Wen]
dd7bdde0  ipv6: Consider sk_bound_dev_if when binding a socket to an address  [David Ahern]
3cb1db1  f2fs: read page index before freeing  [Pan Bian]
54a6eb4  perf unwind: Take pgoff into account when reporting elf to libdwfl  [Milian Wolff]
9189a56  perf unwind: Unwind with libdw doesn't take symfs into account  [Martin Vuille]
45cea94  vt: invoke notifier on screen size change  [Nicolas Pitre]
24bd8ec  can: bcm: check timer values before ktime conversion  [Oliver Hartkopp]
e7c38ae  can: dev: __can_get_echo_skb(): fix bogous check for non-existing skb by removing it  [Manfred Schlaegl]
b8dc482  x86/kaslr: Fix incorrect i8254 outb() parameters  [Daniel Drake]
c604a1f  Input: xpad - add support for SteelSeries Stratus Duo  [Tom Panfil]
df1f5e8  CIFS: Fix possible hang during async MTU reads and writes  [Pavel Shilovsky]
55fa0bb  tty/n_hdlc: fix __might_sleep warning  [Paul Fulghum]
f5eef27  tty: Handle problem if line discipline does not have receive_buf  [Greg Kroah-Hartman]
d2a2384  staging: rtl8188eu: Add device code for D-Link DWA-121 rev B1  [Michael Straube]
2d2dc13  s390/smp: fix CPU hotplug deadlock with CPU rescan  [Gerald Schaefer]
da98703  USB: serial: pl2303: add new PID to support PL2303TB  [Charles Yeh]
77a460d  USB: serial: simple: add Motorola Tetra TPG2200 device id  [Max Schulze]
3c73a32  openvswitch: Avoid OOB read when parsing flow nlattrs  [Ross Lagerwall]
faed6d6  Linux 3.18.133  [Greg Kroah-Hartman]
9f91627  mm, proc: be more verbose about unstable VMA flags in /proc/<pid>/smaps  [Michal Hocko]
c4a6506  ocfs2: fix panic due to unrecovered local alloc  [Junxiao Bi]
4ff6d19  sysfs: Disable lockdep for driver bind/unbind files  [Daniel Vetter]
7a3c2ad  ALSA: bebob: fix model-id of unit for Apogee Ensemble  [Takashi Sakamoto]
7061e3a  dm snapshot: Fix excessive memory usage and workqueue stalls  [Nikos Tsironis]
1550dab  dm kcopyd: Fix bug causing workqueue stalls  [Nikos Tsironis]
b09a57e  perf parse-events: Fix unchecked usage of strncpy()  [Arnaldo Carvalho de Melo]
2e1dff8  perf svghelper: Fix unchecked usage of strncpy()  [Arnaldo Carvalho de Melo]
54d91c1  mmc: atmel-mci: do not assume idle after atmci_request_end  [Jonas Danielsson]
479405a  kconfig: fix memory leak when EOF is encountered in quotation  [Masahiro Yamada]
5965a97  clk: imx6q: reset exclusive gates on init  [Lucas Stach]
ff3b3db  scsi: target: use consistent left-aligned ASCII INQUIRY data  [David Disseldorp]
c27ed5f  net: call sk_dst_reset when set SO_DONTROUTE  [yupeng]
a23b587  media: firewire: Fix app_info parameter type in avc_ca{,_app}_info  [Nathan Chancellor]
bfebf24  powerpc/pseries/cpuidle: Fix preempt warning  [Breno Leitao]
581b4ae  pstore/ram: Do not treat empty buffers as valid  [Joel Fernandes (Google)]
776e490  jffs2: Fix use of uninitialized delayed_work, lockdep breakage  [Daniel Santos]
7fefe42  MIPS: SiByte: Enable swiotlb for SWARM, LittleSur and BigSur  [Maciej W. Rozycki]
c1f58ea  r8169: Add support for new Realtek Ethernet  [Kai-Heng Feng]
eef026d  media: vb2: be sure to unlock mutex on errors  [Mauro Carvalho Chehab]
9a8ae91  drm/fb-helper: Ignore the value of fb_var_screeninfo.pixclock  [Ivan Mironov]
e064d74  block/loop: Use global lock for ioctl() operation.  [Tetsuo Handa]
60931e8  sctp: allocate sctp_sockaddr_entry with kzalloc  [Xin Long]
1f3a951  selinux: fix GPF on invalid policy  [Stephen Smalley]
16b50c1  sunrpc: handle ENOMEM in rpcb_getport_async  [J. Bruce Fields]
ae98575  media: vb2: vb2_mmap: move lock up  [Hans Verkuil]
cc0db20  media: vivid: set min width/height to a value > 0  [Hans Verkuil]
0e70172  media: vivid: fix error handling of kthread_run  [Hans Verkuil]
c082f46  omap2fb: Fix stack memory disclosure  [Vlad Tsyrklevich]
859bc47  Disable MSI also when pcie-octeon.pcie_disable on  [YunQiang Su]
9e764b57a  mfd: tps6586x: Handle interrupts on suspend  [Jonathan Hunter]
2f02307  scsi: sd: Fix cache_type_store()  [Ivan Mironov]
6a8b4d6  Yama: Check for pid death before checking ancestry  [Kees Cook]
d5b42ef  btrfs: wait on ordered extents on abort cleanup  [Josef Bacik]
807e09c  crypto: authenc - fix parsing key with misaligned rta_len  [Eric Biggers]
e55a1df  net: bridge: fix a bug on using a neighbour cache entry without checking its state  [JianJhen Chen]
1b6fa5f  packet: Do not leak dev refcounts on error exit  [Jason Gunthorpe]
f84e93e  ipv6: fix kernel-infoleak in ipv6_local_error()  [Eric Dumazet]
6e64f59  media: em28xx: Fix misplaced reset of dev->v4l::field_count  [Ben Hutchings]
d9816d8  can: gw: ensure DLC boundaries after CAN frame modification  [Oliver Hartkopp]
2a9ce80  tty/ldsem: Wake up readers after timed out down_write()  [Dmitry Safonov]
2c42ef5  sunrpc: use-after-free in svc_process_common()  [Vasily Averin]
f530e7e  crypto: cts - fix crash on short inputs  [Eric Biggers]
63d0225  i2c: dev: prevent adapter retries and timeout being set as minus value  [Yi Zeng]
5d9ea69  ACPI: power: Skip duplicate power resource references in _PRx  [Hans de Goede]
c82355a  slab: alien caches must not be initialized if the allocation of the alien cache failed  [Christoph Lameter]
c05fe50  USB: storage: add quirk for SMI SM3350  [Icenowy Zheng]
7103765  USB: storage: don't insert sane sense for SPC3+ when bad sense specified  [Icenowy Zheng]
554a3a1  usb: cdc-acm: send ZLP for Telit 3G Intel based modems  [Daniele Palmas]
3e2c288b  cifs: Fix potential OOB access of lock element array  [Ross Lagerwall]
0e982ef  CIFS: Do not hide EINTR after sending network packets  [Pavel Shilovsky]
51c6e90  sparc32: Fix inverted invalid_frame_pointer checks on sigreturns  [Andreas Larsson]
33bcdd5  Linux 3.18.132  [Greg Kroah-Hartman]
5bf48dd  power: supply: olpc_battery: correct the temperature units  [Lubomir Rintel]
1177735  genwqe: Fix size check  [Christian Borntraeger]
62ae04b  ceph: don't update importing cap's mseq when handing cap export  [Yan, Zheng]
3cf9a83  9p/net: put a lower bound on msize  [Dominique Martinet]
c7dc0d1  b43: Fix error in cordic routine  [Larry Finger]
f1232d2  gfs2: Fix loop in gfs2_rbm_find  [Andreas Gruenbacher]
abc0c3d  dlm: memory leaks on error path in dlm_user_request()  [Vasily Averin]
2481f4f  dlm: lost put_lkb on error path in receive_convert() and receive_unlock()  [Vasily Averin]
2c0c53f  dlm: possible memory leak on error path in create_lkb()  [Vasily Averin]
e496901  dlm: fixed memory leaks after failed ls_remove_names allocation  [Vasily Averin]
b10f314  ALSA: usb-audio: Fix an out-of-bound read in create_composite_quirks  [Hui Peng]
09c9f86  ALSA: usb-audio: Avoid access before bLength check in build_audio_procunit()  [Takashi Iwai]
05c9476  ALSA: cs46xx: Potential NULL dereference in probe  [Dan Carpenter]
50f139a  sunrpc: use SVC_NET() in svcauth_gss_* functions  [Vasily Averin]
3f4dde3  sunrpc: fix cache_head leak due to queued request  [Vasily Averin]
f737451  fork: record start_time late  [David Herrmann]
ee15339  scsi: zfcp: fix posting too many status read buffers leading to adapter shutdown  [Steffen Maier]
49f6535  CIFS: Fix error mapping for SMB2_LOCK command which caused OFD lock problem  [Georgy A Bystrenin]
55974b4  MIPS: Align kernel load address to 64KB  [Huacai Chen]
7c0abf6  MIPS: Ensure pmd_present() returns false after pmd_mknotpresent()  [Huacai Chen]
6fd5812  media: vivid: free bitmap_cap when updating std/timings/etc.  [Hans Verkuil]
89dee03  cdc-acm: fix abnormal DATA RX issue for Mediatek Preloader.  [Macpaul Lin]
96694649  ext4: force inode writes when nfsd calls commit_metadata()  [Theodore Ts'o]
a20ef39  ext4: missing unlock/put_page() in ext4_try_to_write_inline_data()  [Maurizio Lombardi]
b53ff4f  ext4: fix possible use after free in ext4_quota_enable  [Pan Bian]
be36aea  KVM: x86: Use jmp to invoke kvm_spurious_fault() from .fixup  [Sean Christopherson]
7995b22  usb: r8a66597: Fix a possible concurrency use-after-free bug in r8a66597_endpoint_disable()  [Jia-Ju Bai]
d8f031d  USB: serial: pl2303: add ids for Hewlett-Packard HP POS pole displays  [Scott Chen]
0ed1a1e  sock: Make sock->sk_stamp thread-safe  [Deepa Dinamani]
f5876c3  xen/netfront: tolerate frags with no data  [Juergen Gross]
8753e12  VSOCK: Send reset control packet when socket is partially bound  [Jorgen Hansen]
0f6db14  vhost: make sure used idx is seen before log in vhost_add_used_n()  [Jason Wang]
475eff0  sctp: initialize sin6_flowinfo for ipv6 addrs in sctp_inet6addr_event  [Xin Long]
22d913c  packet: validate address length if non-zero  [Willem de Bruijn]
e9198b8  packet: validate address length  [Willem de Bruijn]
8abfacc  netrom: fix locking in nr_find_socket()  [Cong Wang]
150dea3  isdn: fix kernel-infoleak in capi_unlocked_ioctl  [Eric Dumazet]
b191f6d  ipv6: explicitly initialize udp6_addr in udp_sock_create6()  [Cong Wang]
671c7e4  ibmveth: fix DMA unmap error in ibmveth_xmit_start error path  [Tyrel Datwyler]
cb67420  ax25: fix a use-after-free in ax25_fillin_cb()  [Cong Wang]
4f1afea  x86/mtrr: Don't copy uninitialized gentry fields back to userspace  [Colin Ian King]
7fcc28d  Drivers: hv: vmbus: Return -EINVAL for the sys files for unopened channels  [Dexuan Cui]
d0477b4  gpio: max7301: fix driver for use with CONFIG_VMAP_STACK  [Christophe Leroy]
9cd910d  mmc: omap_hsmmc: fix DMA API warning  [Russell King]
18df50e  mmc: core: Reset HPI enabled state during re-init and in case of errors  [Ulf Hansson]
790ac59  USB: serial: option: add HP lt4132  [Tore Anderson]
8bf9acf  USB: hso: Fix OOB memory access in hso_probe/hso_get_config_data  [Hui Peng]
06d8fcd  Linux 3.18.131  [Greg Kroah-Hartman]
29a18e2  wil6210: missing length check in wmi_set_ie  [Lior David]
669a63c  swiotlb: clean up reporting  [Kees Cook]
2deef24  sr: pass down correctly sized SCSI sense buffer  [Jens Axboe]
ee5d79b  posix-timers: Sanitize overrun handling  [Thomas Gleixner]
3870548  ALSA: pcm: remove SNDRV_PCM_IOCTL1_INFO internal command  [Takashi Sakamoto]
875e4d0  ALSA: isa/wavefront: prevent some out of bound writes  [Dan Carpenter]
b12936f  i2c: scmi: Fix probe error on devices with an empty SMB0001 ACPI device node  [Hans de Goede]
55f2b4f  cifs: In Kconfig CONFIG_CIFS_POSIX needs depends on legacy (insecure cifs)  [Steve French]
5de9b59  ARM: 8814/1: mm: improve/fix ARM v7_dma_inv_range() unaligned address handling  [Chris Cole]
fe8906a  libata: whitelist all SAMSUNG MZ7KM* solid-state disks  [Juha-Matti Tilli]
ce0b693  Input: omap-keypad - fix keyboard debounce configuration  [Tony Lindgren]
ad2c3c8  ide: pmac: add of_node_put()  [Yangtao Li]
279714d  drivers/tty: add missing of_node_put()  [Yangtao Li]
cb9051d  drivers/sbus/char: add of_node_put()  [Yangtao Li]
0fea5b6  sbus: char: add of_node_put()  [Yangtao Li]
ae23bf6  SUNRPC: Fix a potential race in xprt_connect()  [Trond Myklebust]
a1d2444  bonding: fix 802.3ad state sent to partner when unbinding slave  [Toni Peltonen]
4d8a018  x86/earlyprintk/efi: Fix infinite loop on some screen widths  [YiFei Zhu]
ac6cac7  scsi: vmw_pscsi: Rearrange code to avoid multiple calls to free_irq during unload  [Cathy Avery]
eabfb9e  scsi: libiscsi: Fix NULL pointer dereference in iscsi_eh_session_reset  [Fred Herard]
5b807ac  powerpc: Look for "stdout-path" when setting up legacy consoles  [Benjamin Herrenschmidt]
8b0598b  tracing: Fix memory leak of instance function hash filters  [Steven Rostedt (VMware)]
6e0040b  tracing: Fix memory leak in set_trigger_filter()  [Steven Rostedt (VMware)]
59f33fd  MMC: OMAP: fix broken MMC on OMAP15XX/OMAP5910/OMAP310  [Aaro Koskinen]
3553ce1  powerpc/boot: Fix random libfdt related build errors  [Guenter Roeck]
fcd5447  timer/debug: Change /proc/timer_list from 0444 to 0400  [Ingo Molnar]
2cfa209  lib/interval_tree_test.c: allow users to limit scope of endpoint  [Davidlohr Bueso]
0dd902d  lib/rbtree-test: lower default params  [Davidlohr Bueso]
a8f83c5  lib/rbtree_test.c: make input module parameters  [Davidlohr Bueso]
00e70df  lib/interval_tree_test.c: allow full tree search  [Davidlohr Bueso]
b82cef8  lib/interval_tree_test.c: make test options module parameters  [Davidlohr Bueso]
260b1bf  Linux 3.18.130  [Greg Kroah-Hartman]
608e190  selftests: Move networking/timestamping from Documentation  [Shuah Khan]
3a22f20  staging: rts5208: fix gcc-8 logic error warning  [Arnd Bergmann]
